implementacao;arquivo;palavra;threads;tempo_seq;tempo_par;speedup;ocorrencias
C;arquivo1GB.txt;a;200;0.385000;0.456000;0.844298;106622636
Java;arquivo1GB.txt;a;200;1.582664;0.735025;2.153211;106622636
C;arquivo1GB.txt;como;1;1.104000;1.010000;1.093069;499608
Java;arquivo1GB.txt;como;1;1.655856;1.609799;1.028610;499608
C;arquivo1GB.txt;como;2;1.144000;1.000000;1.144000;499608
Java;arquivo1GB.txt;como;2;1.704740;1.135544;1.501254;499608
C;arquivo1GB.txt;como;8;1.125000;1.003000;1.121635;499608
Java;arquivo1GB.txt;como;8;1.657760;0.802701;2.065229;499608
C;arquivo1GB.txt;como;20;1.150000;0.985500;1.166920;499608
Java;arquivo1GB.txt;como;20;1.627831;0.748104;2.175941;499608
C;arquivo1GB.txt;como;40;1.119000;0.967500;1.156589;499608
Java;arquivo1GB.txt;como;40;1.586602;0.695754;2.280405;499608
C;arquivo1GB.txt;como;80;1.102500;0.969000;1.137771;499608
